Code,Location_n,Country,Latitude,Longitude,Date_colle,number_col,Afum_01,number_ARA,ARAf_01,colonies_A,SAMPLE_1_e,urban_rura,tasmax
WS18-164-02,2,UK,52.36,-2.04,22/12/2018,0,0,0,0,0,21,urban,10.58885288
WS18-076-02,2,UK,50.71,-2.02,17/12/2018,0,0,0,0,0,21,urban,12.00333786
WS18-096-02,2,UK,52.34,-1.93,20/12/2018,0,0,0,0,0,21,urban,11.16131592
WS18-096-01,1,UK,52.34,-1.93,20/12/2018,1,1,0,0,1,21,urban,11.16131592
WS18-129-01,1,UK,52.75,-1.92,20/12/2018,1,1,0,0,1,21,urban,10.04808903
WS18-129-02,2,UK,52.75,-1.92,20/12/2018,1,1,0,0,1,21,urban,10.04808903
WS18-121-01,1,UK,52.41,-1.92,21/12/2018,16,1,0,0,1,20,urban,10.75337029
WS18-076-01,1,UK,50.88,-1.86,17/12/2018,0,0,0,0,0,21,urban,11.43831158
WS18-032-02,2,UK,50.75,-1.85,17/12/2018,0,0,0,0,0,21,urban,11.80713081
WS18-032-01,1,UK,50.75,-1.85,17/12/2018,0,0,0,0,0,21,urban,11.80713081
WS18-001-08,8,UK,51.83,-1.84,17/12/2018,0,0,0,0,0,21,urban,9.672459602
WS18-167-02,2,UK,51.55,-1.84,19/12/2018,0,0,0,0,0,21,urban,9.106967926
WS18-018-01,1,UK,50.83,-1.82,17/12/2018,1,1,0,0,1,21,urban,11.76967907
WS18-140-01,1,UK,55.46,-1.82,22/12/2018,0,0,0,0,0,4,rural,8.504554749
WS18-140-02,2,UK,55.46,-1.82,22/12/2018,0,0,0,0,0,4,rural,8.504554749
WS18-102-01,1,UK,53.92,-1.80,19/12/2018,0,0,0,0,0,21,urban,8.037543297
WS18-151-02,2,UK,51.07,-1.79,23/12/2018,1,1,0,0,1,21,urban,13.47614098
WS18-151-01,1,UK,51.07,-1.79,23/12/2018,0,0,0,0,0,21,urban,13.47614098
WS18-167-01,1,UK,51.52,-1.79,17/12/2018,0,0,0,0,0,21,urban,10.44227982
WS18-120-02,2,UK,52.43,-1.79,22/12/2018,0,0,0,0,0,21,urban,10.54802418
WS18-120-01,1,UK,52.43,-1.79,22/12/2018,0,0,0,0,0,21,urban,10.54802418
WS18-102-02,2,UK,53.75,-1.78,19/12/2018,0,0,0,0,0,21,urban,7.433443069
WS18-018-02,2,UK,50.85,-1.78,17/12/2018,1,1,0,0,1,21,urban,11.71448135
WS18-111-02,2,UK,54.78,-1.77,17/12/2018,12,1,0,0,1,21,urban,7.762969017
WS18-066-01,1,UK,51.59,-1.75,16/12/2018,0,0,0,0,0,21,urban,7.532459259
WS18-083-01,1,UK,53.90,-1.74,19/12/2018,0,0,0,0,0,21,urban,8.211997986
WS18-127-01,1,UK,51.34,-1.73,22/12/2018,1,1,0,0,1,4,rural,10.92643547
WS18-127-02,2,UK,51.34,-1.73,22/12/2018,0,0,0,0,0,21,urban,10.91887951
WS18-001-07,7,UK,51.93,-1.72,17/12/2018,1,1,0,0,1,21,urban,9.273803711
WS18-023-01,1,UK,55.18,-1.71,17/12/2018,1,1,0,0,1,21,urban,9.625892639
WS18-066-02,2,UK,51.62,-1.71,16/12/2018,0,0,0,0,0,20,urban,7.358774662
WS18-006-01,1,UK,54.03,-1.69,17/12/2018,0,0,0,0,0,21,urban,9.467989922
WS18-006-02,2,UK,54.03,-1.69,17/12/2018,0,0,0,0,0,21,urban,9.467989922
WS18-001-06,6,UK,51.98,-1.69,17/12/2018,0,0,0,0,0,21,urban,10.14195442
WS18-083-02,2,UK,53.91,-1.68,17/12/2018,0,0,0,0,0,21,urban,10.11641884
WS18-038-01,1,UK,50.75,-1.64,17/12/2018,1,1,0,0,1,21,urban,11.38142204
WS18-038-02,2,UK,50.75,-1.64,17/12/2018,0,0,0,0,0,21,urban,11.38142204
WS18-001-09,9,UK,51.80,-1.63,17/12/2018,0,0,0,0,0,21,urban,10.18792248
WS18-060-01,1,UK,53.88,-1.62,17/12/2018,34,1,1,1,2,21,urban,9.154227257
WS18-060-02,2,UK,53.88,-1.62,17/12/2018,35,1,0,0,1,21,urban,9.154227257
WS18-099-02,2,UK,54.98,-1.61,19/01/2019,0,0,0,0,0,20,urban,2.73387289
WS18-057-01,1,UK,52.39,-1.59,17/12/2018,0,0,0,0,0,21,urban,10.20571327
WS18-099-01,1,UK,55.01,-1.58,19/01/2019,0,0,0,0,0,21,urban,2.780459642
WS18-037-01,1,UK,53.80,-1.58,17/12/2018,0,0,0,0,0,20,urban,10.51431942
WS18-111-01,1,UK,54.72,-1.56,17/12/2018,3,1,0,0,1,21,urban,8.96966362
WS18-037-02,2,UK,53.80,-1.55,17/12/2018,1,1,0,0,1,20,urban,10.12900639
WS18-165-01,1,UK,53.39,-1.55,19/12/2018,2,1,0,0,1,21,urban,7.144164562
WS18-023-02,2,UK,55.18,-1.54,17/12/2018,1,1,0,0,1,20,urban,9.537940979
WS18-012-02,2,UK,52.39,-1.54,17/12/2018,0,0,0,0,0,21,urban,10.10381126
WS18-012-01,1,UK,52.39,-1.54,17/12/2018,1,1,0,0,1,21,urban,10.10381126
WS18-001-05,5,UK,51.94,-1.54,17/12/2018,0,0,0,0,0,21,urban,10.14195442
WS18-095-01,1,UK,53.31,-1.53,17/12/2018,0,0,0,0,0,21,urban,9.756093979
WS18-001-04,4,UK,51.94,-1.52,17/12/2018,2,1,0,0,1,21,urban,10.14195442
WS18-010-01,1,UK,53.84,-1.51,17/12/2018,0,0,0,0,0,21,urban,9.176929474
WS18-022-02,2,UK,53.77,-1.50,17/12/2018,0,0,0,0,0,20,urban,10.43674755
WS18-165-02,2,UK,53.38,-1.48,19/12/2018,0,0,0,0,0,20,urban,8.281881332
WS18-057-02,2,UK,52.38,-1.47,17/12/2018,2,1,0,0,1,21,urban,10.18886375
WS18-137-01,1,UK,51.58,-1.45,18/12/2018,0,0,0,0,0,21,urban,9.495505333
WS18-001-03,3,UK,51.91,-1.45,17/12/2018,0,0,0,0,0,21,urban,9.872766495
WS18-022-01,1,UK,53.79,-1.39,17/12/2018,0,0,0,0,0,21,urban,9.502576828
WS18-027-01,1,UK,52.86,-1.38,17/12/2018,1,1,0,0,1,21,urban,10.51925755
WS18-042-01,1,UK,53.76,-1.36,19/12/2018,2,1,0,0,1,21,urban,8.236004829
WS18-042-02,2,UK,53.76,-1.36,19/12/2018,0,0,0,0,0,21,urban,8.236004829
WS18-010-02,2,UK,53.72,-1.35,17/12/2018,1,1,0,0,1,20,urban,10.23678207
WS18-001-02,2,UK,51.84,-1.35,17/12/2018,2,1,0,0,1,21,urban,10.186203
WS18-034-01,1,UK,51.64,-1.31,17/12/2018,8,1,0,0,1,21,urban,10.63835621
WS18-126-02,2,UK,51.57,-1.31,17/12/2018,0,0,0,0,0,20,urban,10.34993649
WS18-112-02,2,UK,51.57,-1.30,20/12/2018,3,1,0,0,1,20,urban,12.24528313
WS18-001-01,1,UK,51.65,-1.29,17/12/2018,1,1,0,0,1,21,urban,10.67998695
WS18-147-01,1,UK,51.69,-1.27,20/12/2018,5,1,0,0,1,21,urban,12.29246044
WS18-135-02,2,UK,51.77,-1.26,20/12/2018,1,1,0,0,1,20,urban,12.15389633
WS18-040-02,2,UK,51.75,-1.26,17/12/2018,2,1,0,0,1,20,urban,10.54132175
WS18-126-01,1,UK,51.62,-1.24,17/12/2018,1,1,0,0,1,21,urban,10.75830078
WS18-135-01,1,UK,51.74,-1.23,20/12/2018,4,1,0,0,1,21,urban,12.27980518
WS18-016-01,1,UK,51.61,-1.22,18/12/2018,2,1,0,0,1,21,urban,10.09711075
WS18-147-02,2,UK,51.72,-1.20,20/12/2018,0,0,0,0,0,20,urban,12.27081966
WS18-035-02,2,UK,51.66,-1.19,19/12/2018,3,1,0,0,1,21,urban,9.68462944
WS18-035-01,1,UK,51.66,-1.19,19/12/2018,3,1,0,0,1,21,urban,9.68462944
WS18-119-01,1,UK,52.91,-1.17,22/12/2018,0,0,0,0,0,21,urban,10.78130531
WS18-119-02,2,UK,52.91,-1.17,22/12/2018,1,1,1,1,2,21,urban,10.78130531
WS18-054-02,2,UK,51.60,-1.14,17/12/2018,2,1,0,0,1,21,urban,10.71812344
WS18-054-01,1,UK,51.60,-1.14,17/12/2018,4,1,0,0,1,21,urban,10.71812344
WS18-047-02,2,UK,51.60,-1.13,19/12/2018,0,0,0,0,0,21,urban,10.09504795
WS18-040-01,1,UK,51.60,-1.13,17/12/2018,4,1,2,1,2,21,urban,10.71812344
WS18-003-01,1,UK,51.60,-1.13,17/12/2018,1,1,0,0,1,21,urban,10.68882561
WS18-003-02,2,UK,51.60,-1.13,17/12/2018,1,1,0,0,1,21,urban,10.68882561
WS18-047-01,1,UK,51.60,-1.12,19/12/2018,1,1,0,0,1,21,urban,10.13189507
WS18-112-01,1,UK,51.60,-1.12,20/12/2018,1,1,0,0,1,21,urban,12.51148129
