Latitude,Longitude,country,arab_perc
51.53,0.01,England,1.0047
51.45,0.01,England,0.0073
51.49,0.01,England,0.1657
52.07,0.01,England,73.7746
51.55,0.02,England,4.886
51.49,0.03,England,0.6089
51.43,0.07,England,0.3047
51.45,0.08,England,0.0453
52.21,0.08,England,41.0033
53.17,0.09,England,57.6238
53.17,0.09,England,57.5708
52.21,0.12,England,5.0167
52.20,0.12,England,4.1567
51.39,0.12,England,13.173
52.17,0.12,England,38.1024
51.55,0.13,England,0.2383
52.19,0.13,England,2.196
52.10,0.13,England,63.0595
52.19,0.14,England,2.0109
52.17,0.14,England,33.211
52.17,0.14,England,33.8203
52.17,0.14,England,36.1669
52.20,0.14,England,1.2724
52.18,0.16,England,1.0972
51.88,0.17,England,35.1897
51.86,0.17,England,26.1811
52.07,0.18,England,69.1626
52.17,0.19,England,62.8806
52.00,0.20,England,68.7349
52.00,0.20,England,67.8557
52.16,0.21,England,80.7302
52.02,0.24,England,50.5874
52.40,0.27,England,43.7721
52.34,0.32,England,65.8315
51.72,0.47,England,1.8285
51.18,0.48,England,51.783
51.72,0.48,England,4.1631
51.72,0.49,England,21.7942
51.15,0.52,England,33.4048
51.15,0.52,England,32.4556
51.15,0.53,England,32.2501
51.76,0.54,England,64.9035
52.13,0.67,England,70.7835
51.43,0.77,England,0.5179
51.88,0.88,England,1.3905
51.87,0.94,England,25.0815
51.28,1.06,England,6.1492
51.29,1.06,England,13.0589
52.33,1.20,England,72.9189
52.62,1.22,England,27.2815
52.60,1.23,England,29.5738
51.83,1.25,England,19.4143
52.61,1.25,England,6.0986
52.61,1.26,England,0.8107
52.66,1.28,England,12.4948
52.09,1.32,England,16.3072
51.37,1.32,England,32.306
51.38,1.36,England,23.5736
52.82,1.39,England,42.1347
52.14,1.44,England,70.0694
52.35,1.51,England,43.6453
52.32,1.55,England,50.7053
52.20,1.58,England,54.3607
52.16,1.59,England,6.9973
52.16,1.59,England,6.7911
